showid,uniqueid,songid,set,position,transition,isreprise,isjam,isjamchart,jamchart_description,tracktime,gap,is_original,soundcheck,footnote,exclude
1252186614,92664,251,2,16,2,0,0,0,,,1,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",Jah Roy on vocals.,0
1252186614,92665,250,2,17,1,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92666,486,2,18,1,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92667,510,2,19,2,0,0,0,,,1,0,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92668,296,2,20,1,0,0,0,,,12,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252186614,92669,22,2,21,6,0,0,0,,,1,1,"Bertha (performed by The Joneses), Blues Jam (with members of The Joneses)",,0
1252187221,11577,220,1,1,1,0,0,0,,,53,0,,First known Phish performance.,0
1252187221,11578,440,1,2,1,0,0,0,,,7,1,,,0
1252187221,11579,431,1,3,1,0,0,0,,,5,0,,,0
1252187221,11580,359,1,4,3,0,0,0,,,6,1,,,0
1252187221,11581,208,1,5,4,0,0,0,,,5,1,,,0
1252187221,11582,281,2,6,1,0,0,0,,,54,0,,First known Phish performance.,0
1252187221,11583,234,2,7,2,0,0,0,,,5,1,,,0
1252187221,11584,512,2,8,1,0,0,0,,,5,1,,,0
1252187221,11585,503,2,9,2,0,0,0,,,5,0,,,0
1252187221,11586,340,2,10,3,0,0,0,,,54,0,,First known Phish performance.,0
1252187221,11587,100,2,11,1,0,0,0,,,5,1,,,0
1252187221,11588,311,2,12,2,0,0,1,"Following ""Camel Walk,"" a bluesy and rocking jam with an Allman Brothers Band vibe and ""Ramblin' Man"" jam > to ""Swing Low, Sweet Chariot."" On PhishTracks, the ""Ramblin' Man"" jam occurs in the first 3:15 of ""Chariot.""",,5,0,,,0
1252187221,11589,552,2,13,1,0,0,0,,,5,0,,,0
1252187221,11590,42,2,14,1,0,0,0,,,5,0,,,0
1252187221,11591,296,2,15,1,0,0,0,,,5,1,,Steve Drebber on vocals.,0
1252187221,11592,365,2,16,1,0,0,0,,,6,1,,,0
1252187221,11593,235,2,17,3,0,0,0,,,53,0,,First known Phish performance.,0
1252187221,11594,510,2,18,3,0,0,1,"-> from ""GTBT."" The third known version is well-played and has a bit of an extended intro. It's highlighted by a mini-jam of ""The Sloth,"" which wouldn't debut for another eight months, starting around 5:35. -> into ""Cities.""",,5,0,,,0
1252187221,11595,119,2,19,4,0,0,0,,,6,0,,,0
1252187221,11596,381,3,20,3,0,0,1,"Played at a slower tempo (or possibly a tape issue), the jam is fairly open ended, working through several progressions, including some ""DEG""-like jamming. -> to a cool and first known Phish performance of the ""Little Drummer Boy.""",,6,1,,,0
1252187221,11597,343,3,21,2,0,0,0,,,54,0,,First known Phish performance.,0
